index,file,full_path,type,name,start_line,end_line,line_count,class_list,class_count,namespace,class_properties,functions,function_count,class,full_name,security,static,override,return_type,inputs
10,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,function,Main,,,,,,Demo.LearnByDoing.CodeWars,,,,DuplicateEncoderProgram,public static void Main(string[] args),public,True,False,void,['string[] args']
11,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,function,DuplicateEncode,,,,,,Demo.LearnByDoing.CodeWars,,,,DuplicateEncoderProgram,public static string DuplicateEncode(string word),public,True,False,string,['string word']
12,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,class,Kata,15.0,22.0,7.0,,,Demo.LearnByDoing.CodeWars,"['public', 'class', 'Kata']",['public static string DuplicateEncode(string word)'],1.0,,,,,,,
13,DuplicateEncoderProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars\DuplicateEncoderProgram.cs,function,DuplicateEncode,,,,,,Demo.LearnByDoing.CodeWars,,,,Kata,public static string DuplicateEncode(string word),public,True,False,string,['string word']
14,Class1.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars.Tests\Class1.cs,namespace,Demo.LearnByDoing.CodeWars.Tests,6.0,12.0,6.0,['public class Class1'],1.0,,,,,,,,,,,
15,Class1.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.CodeWars.Tests\Class1.cs,class,Class1,8.0,12.0,4.0,,,Demo.LearnByDoing.CodeWars.Tests,"['public', 'class', 'Class1']",[],0.0,,,,,,,
16,BaseTest.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\BaseTest.cs,namespace,Demo.LearnByDoing.Core,4.0,39.0,35.0,['public abstract class BaseTest'],1.0,,,,,,,,,,,
17,BaseTestData.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\BaseTestData.cs,namespace,Demo.LearnByDoing.Core,3.0,20.0,17.0,['public abstract class BaseTestData : IEnumerable<object[]>'],1.0,,,,,,,,,,,
18,PalinedromeChecker.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\PalinedromeChecker.cs,namespace,Demo.LearnByDoing.Core,0.0,0.0,0.0,[],0.0,,,,,,,,,,,
19,PalinedromeChecker.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\PalinedromeChecker.cs,class,PalinedromeChecker,2.0,25.0,23.0,,,Demo.LearnByDoing.Core,"['public', 'class', 'PalinedromeChecker']",['public bool IsPalindrome(string word)'],1.0,,,,,,,
20,PalinedromeChecker.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\PalinedromeChecker.cs,function,IsPalindrome,,,,,,Demo.LearnByDoing.Core,,,,PalinedromeChecker,public bool IsPalindrome(string word),public,False,False,bool,['string word']
21,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,class,Edge<T>,2.0,68.0,66.0,,,,"['public', 'class', 'Edge<T>']","['public Edge(Vertex<T> vertex1, Vertex<T> vertex2)', 'public Edge(Vertex<T> vertex1, Vertex<T> vertex2, bool isDirected)', 'public Edge(Vertex<T> vertex11, Vertex<T> vertex21, bool isDirectred, int weight)', 'public override int GetHashCode()', 'public override bool Equals(object obj)', 'public override string ToString()']",6.0,,,,,,,
22,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,Edge,,,,,,,,,,Edge<T>,"public Edge(Vertex<T> vertex1, Vertex<T> vertex2)",public,False,False,void,"['Vertex<T> vertex1', 'Vertex<T> vertex2']"
23,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,Edge,,,,,,,,,,Edge<T>,"public Edge(Vertex<T> vertex1, Vertex<T> vertex2, bool isDirected)",public,False,False,void,"['Vertex<T> vertex1', 'Vertex<T> vertex2', 'bool isDirected']"
24,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,Edge,,,,,,,,,,Edge<T>,"public Edge(Vertex<T> vertex11, Vertex<T> vertex21, bool isDirectred, int weight)",public,False,False,void,"['Vertex<T> vertex11', 'Vertex<T> vertex21', 'bool isDirectred', 'int weight']"
25,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,GetHashCode,,,,,,,,,,Edge<T>,public override int GetHashCode(),public,False,True,int,['']
26,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,Equals,,,,,,,,,,Edge<T>,public override bool Equals(object obj),public,False,True,bool,['object obj']
27,Edge.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Edge.cs,function,ToString,,,,,,,,,,Edge<T>,public override string ToString(),public,False,True,string,['']
28,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,namespace,Demo.LearnByDoing.Core.Graph,3.0,107.0,104.0,['public class Graph<T>'],1.0,,,,,,,,,,,
29,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,class,Graph<T>,5.0,107.0,102.0,,,Demo.LearnByDoing.Core.Graph,"['public', 'class', 'Graph<T>']","['public Graph(bool isDirected)', 'public void AddEdge(long id1, long id2)', 'public void AddVertex(Vertex<T> vertex)', 'public Vertex<T> AddSingleVertex(long id)', 'public void AddEdge(long id1, long id2, int weight)', 'public IEnumerable<Vertex<T>> GetVertices()', 'public void SetDataForVertex(long id, T data)', 'public override string ToString()']",8.0,,,,,,,
30,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,Graph,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,public Graph(bool isDirected),public,False,False,void,['bool isDirected']
31,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,AddEdge,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,"public void AddEdge(long id1, long id2)",public,False,False,void,"['long id1', 'long id2']"
32,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,AddVertex,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,public void AddVertex(Vertex<T> vertex),public,False,False,void,['Vertex<T> vertex']
33,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,AddSingleVertex,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,public Vertex<T> AddSingleVertex(long id),public,False,False,Vertex<T>,['long id']
34,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,AddEdge,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,"public void AddEdge(long id1, long id2, int weight)",public,False,False,void,"['long id1', 'long id2', 'int weight']"
35,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,GetVertices,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,public IEnumerable<Vertex<T>> GetVertices(),public,False,False,IEnumerable<Vertex<T>>,['']
36,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,SetDataForVertex,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,"public void SetDataForVertex(long id, T data)",public,False,False,void,"['long id', 'T data']"
37,Graph.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Graph.cs,function,ToString,,,,,,Demo.LearnByDoing.Core.Graph,,,,Graph<T>,public override string ToString(),public,False,True,string,['']
38,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,namespace,Demo.LearnByDoing.Core.Graph,2.0,53.0,51.0,['public class Vertex<T>'],1.0,,,,,,,,,,,
39,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,class,Vertex<T>,4.0,53.0,49.0,,,Demo.LearnByDoing.Core.Graph,"['public', 'class', 'Vertex<T>']","['public Vertex(long id)', 'public void AddAdjacentVertex(Edge<T> e, Vertex<T> v)', 'public override string ToString()', 'public int GetDegree()', 'public override int GetHashCode()', 'public override bool Equals(object obj)']",6.0,,,,,,,
40,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,Vertex,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,public Vertex(long id),public,False,False,void,['long id']
41,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,AddAdjacentVertex,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,"public void AddAdjacentVertex(Edge<T> e, Vertex<T> v)",public,False,False,void,"['Edge<T> e', 'Vertex<T> v']"
42,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,ToString,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,public override string ToString(),public,False,True,string,['']
43,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,GetDegree,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,public int GetDegree(),public,False,False,int,['']
44,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,GetHashCode,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,public override int GetHashCode(),public,False,True,int,['']
45,Vertex.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.Core\Graph\Vertex.cs,function,Equals,,,,,,Demo.LearnByDoing.Core.Graph,,,,Vertex<T>,public override bool Equals(object obj),public,False,True,bool,['object obj']
46,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Program.cs,namespace,Demo.LearnByDoing.DotNetCore.OAuth,10.0,25.0,15.0,['public class Program'],1.0,,,,,,,,,,,
47,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Program.cs,class,Program,12.0,25.0,13.0,,,Demo.LearnByDoing.DotNetCore.OAuth,"['public', 'class', 'Program']",['public static void Main(string[] args)'],1.0,,,,,,,
48,Program.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Program.cs,function,Main,,,,,,Demo.LearnByDoing.DotNetCore.OAuth,,,,Program,public static void Main(string[] args),public,True,False,void,['string[] args']
49,Startup.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Startup.cs,namespace,Demo.LearnByDoing.DotNetCore.OAuth,10.0,59.0,49.0,['public class Startup'],1.0,,,,,,,,,,,
50,Startup.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Startup.cs,class,Startup,12.0,59.0,47.0,,,Demo.LearnByDoing.DotNetCore.OAuth,"['public', 'class', 'Startup']","['public Startup(IConfiguration configuration)', 'public void ConfigureServices(IServiceCollection services)', 'public void Configure(IApplicationBuilder app, IHostingEnvironment env)']",3.0,,,,,,,
51,Startup.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Startup.cs,function,Startup,,,,,,Demo.LearnByDoing.DotNetCore.OAuth,,,,Startup,public Startup(IConfiguration configuration),public,False,False,void,['IConfiguration configuration']
52,Startup.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Startup.cs,function,ConfigureServices,,,,,,Demo.LearnByDoing.DotNetCore.OAuth,,,,Startup,public void ConfigureServices(IServiceCollection services),public,False,False,void,['IServiceCollection services']
53,Startup.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Startup.cs,function,Configure,,,,,,Demo.LearnByDoing.DotNetCore.OAuth,,,,Startup,"public void Configure(IApplicationBuilder app, IHostingEnvironment env)",public,False,False,void,"['IApplicationBuilder app', 'IHostingEnvironment env']"
54,HomeController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\HomeController.cs,namespace,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,7.0,23.0,16.0,['public class HomeController : Controller'],1.0,,,,,,,,,,,
55,HomeController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\HomeController.cs,class,Controller,9.0,23.0,14.0,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,"['public', 'class', 'HomeController', ':', 'Controller']","['public IActionResult Index()', 'public IActionResult Error()']",2.0,,,,,,,
56,HomeController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\HomeController.cs,function,Index,,,,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,,,,Controller,public IActionResult Index(),public,False,False,IActionResult,['']
57,HomeController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\HomeController.cs,function,Error,,,,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,,,,Controller,public IActionResult Error(),public,False,False,IActionResult,['']
58,SampleDataController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\SampleDataController.cs,namespace,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,6.0,44.0,38.0,"['public class SampleDataController : Controller', 'public class WeatherForecast']",2.0,,,,,,,,,,,
59,SampleDataController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\SampleDataController.cs,class,Controller,9.0,43.0,34.0,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,"['public', 'class', 'SampleDataController', ':', 'Controller']",['public IEnumerable<WeatherForecast> WeatherForecasts()'],1.0,,,,,,,
60,SampleDataController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\SampleDataController.cs,function,WeatherForecasts,,,,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,,,,Controller,public IEnumerable<WeatherForecast> WeatherForecasts(),public,False,False,IEnumerable<WeatherForecast>,['']
61,SampleDataController.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.DotNetCore.OAuth\Controllers\SampleDataController.cs,class,WeatherForecast,28.0,42.0,14.0,,,Demo.LearnByDoing.DotNetCore.OAuth.Controllers,"['public', 'class', 'WeatherForecast']",[],0.0,,,,,,,
62,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,namespace,Demo.LearnByDoing.General,5.0,85.0,80.0,['public class ConvertIntegerToArrayProgram'],1.0,,,,,,,,,,,
63,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,class,ConvertIntegerToArrayProgram,12.0,84.0,72.0,,,Demo.LearnByDoing.General,"['public', 'class', 'ConvertIntegerToArrayProgram']","['public static void Main(string[] args)', 'private static int[] GetArray1(int value)', 'private static IEnumerable<int> GetArray2(int value)', 'private static IEnumerable<int> GetArray3(int value)']",4.0,,,,,,,
64,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,function,Main,,,,,,Demo.LearnByDoing.General,,,,ConvertIntegerToArrayProgram,public static void Main(string[] args),public,True,False,void,['string[] args']
65,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,function,GetArray1,,,,,,Demo.LearnByDoing.General,,,,ConvertIntegerToArrayProgram,private static int[] GetArray1(int value),private,True,False,int[],['int value']
66,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,function,GetArray2,,,,,,Demo.LearnByDoing.General,,,,ConvertIntegerToArrayProgram,private static IEnumerable<int> GetArray2(int value),private,True,False,IEnumerable<int>,['int value']
67,ConvertIntegerToArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\ConvertIntegerToArrayProgram.cs,function,GetArray3,,,,,,Demo.LearnByDoing.General,,,,ConvertIntegerToArrayProgram,private static IEnumerable<int> GetArray3(int value),private,True,False,IEnumerable<int>,['int value']
68,FindAllArrayElementsExistInAnotherArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindAllArrayElementsExistInAnotherArrayProgram.cs,namespace,Demo.LearnByDoing.General,3.0,30.0,27.0,['public class FindAllArrayElementsExistInAnotherArrayProgram'],1.0,,,,,,,,,,,
69,FindAllArrayElementsExistInAnotherArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindAllArrayElementsExistInAnotherArrayProgram.cs,class,FindAllArrayElementsExistInAnotherArrayProgram,8.0,29.0,21.0,,,Demo.LearnByDoing.General,"['public', 'class', 'FindAllArrayElementsExistInAnotherArrayProgram']","['public static void Main(string[] args)', 'private static bool CheckIfAllElementsExistInAnotherArray(int[] subA, int[] fullA)']",2.0,,,,,,,
70,FindAllArrayElementsExistInAnotherArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindAllArrayElementsExistInAnotherArrayProgram.cs,function,Main,,,,,,Demo.LearnByDoing.General,,,,FindAllArrayElementsExistInAnotherArrayProgram,public static void Main(string[] args),public,True,False,void,['string[] args']
71,FindAllArrayElementsExistInAnotherArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindAllArrayElementsExistInAnotherArrayProgram.cs,function,CheckIfAllElementsExistInAnotherArray,,,,,,Demo.LearnByDoing.General,,,,FindAllArrayElementsExistInAnotherArrayProgram,"private static bool CheckIfAllElementsExistInAnotherArray(int[] subA, int[] fullA)",private,True,False,bool,"['int[] subA', 'int[] fullA']"
72,FindingAllFactorsProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindingAllFactorsProgram.cs,namespace,Demo.LearnByDoing.General,4.0,39.0,35.0,['public class FindingAllFactorsProgram'],1.0,,,,,,,,,,,
73,FindingAllFactorsProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindingAllFactorsProgram.cs,class,FindingAllFactorsProgram,10.0,38.0,28.0,,,Demo.LearnByDoing.General,"['public', 'class', 'FindingAllFactorsProgram']","['public static void Main(string[] args)', 'private static IEnumerable<int> GetFactors(int number)']",2.0,,,,,,,
74,FindingAllFactorsProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindingAllFactorsProgram.cs,function,Main,,,,,,Demo.LearnByDoing.General,,,,FindingAllFactorsProgram,public static void Main(string[] args),public,True,False,void,['string[] args']
75,FindingAllFactorsProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindingAllFactorsProgram.cs,function,GetFactors,,,,,,Demo.LearnByDoing.General,,,,FindingAllFactorsProgram,private static IEnumerable<int> GetFactors(int number),private,True,False,IEnumerable<int>,['int number']
76,FindValueInSortedArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindValueInSortedArrayProgram.cs,namespace,Demo.LearnByDoing.General,2.0,41.0,39.0,['public class FindValueInSortedArrayProgram'],1.0,,,,,,,,,,,
77,FindValueInSortedArrayProgram.cs,.\cs_code\Demo.LearnByDoing-5afb7d3fae028348316b4ede0c8d969d9c1fe84c\Demo.LearnByDoing.General\FindValueInSortedArrayProgram.cs,class,FindValueInSortedArrayProgram,4.0,41.0,37.0,,,Demo.LearnByDoing.General,"['public', 'class', 'FindValueInSortedArrayProgram']","['public static void Main(string[] args)', 'private static bool FindValue(int[] a, int value)']",2.0,,,,,,,
